# this is just for unit testing
John, Montreal, Salesman
Kamel, Lyon, Researcher
Nathalie, Montreal, Translator
Bush, Washington, President
Tim Bray, Vancouver, Technologist
Daniel, Montreal, Professor
Peter, Montreal, Professor
Jack, Montreal, Professor
Nathalie, Montreal, Professor
John, Montreal, Salesman
Kamel, Lyon, Researcher
Nathalie, Montreal, Translator
Bush, Washington, President
Tim Bray, Vancouver, Technologist
Daniel, Montreal, Professor
Peter, Montreal, Professor
Jack, London, Professor
Nathalie, Montreal, Professor
John, Montreal, Salesman
Kamel, Lyon, Researcher
Nathalie, Montreal, Translator
Bush, Washington, President
Tim Bray, Vancouver, Technologist
Daniel, Montreal, Professor
Peter, Montreal, Professor
Jack, Montreal, Professor
Nathalie, Montreal, Professor
John, Dubai, Salesman
Kamel, Lyon, Researcher
Nathalie, Montreal, Translator
Bush, Washington, President
Tim Brayish, Vancouver, Technologist
Daniella, Montreal, Professor
Peterish, Montreal, Professor
Jackie, Montreal, Professor
Nathalie, Montreal, Professor
John, Montreal, Salesman
Kamel, Lyon, Researcher
Nathalie, Montreal, Translator
Bush, Washington, President
Tim Bray, Vancouver, Technologist
Daniel, Montreal, Professor
Peter, Montreal, Professor
Jack, Montreal, Professor
Nathalie, Montreal, Professor
